 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   3.50600 ,     0.512840558353302E+01 ,    -0.897622249855056E+01 ,    -0.535294289425062E+01 ,     0.526107095659426E+01 ,     0.308481168620658E+01 ,    -0.189252412920873E+01 , 
   3.52600 ,     0.657744818781987E+01 ,    -0.110757698899597E+02 ,    -0.549620701489488E+01 ,     0.673653073507428E+01 ,     0.370956561621556E+01 ,    -0.152695519483981E+01 , 
   3.54600 ,     0.767145383984615E+01 ,    -0.129767662079929E+02 ,    -0.536515404324053E+01 ,     0.785012597283878E+01 ,     0.426512994051685E+01 ,    -0.109808351901622E+01 , 
   3.56600 ,     0.833861564608757E+01 ,    -0.145554482982741E+02 ,    -0.499527832204258E+01 ,     0.852878349794060E+01 ,     0.471126830390989E+01 ,    -0.651826543082247E+00 , 
   3.58600 ,     0.854195907069004E+01 ,    -0.156968161978677E+02 ,    -0.443804443949629E+01 ,     0.873489692713846E+01 ,     0.501362208077083E+01 ,    -0.232967176686138E+00 , 
   3.60600 ,     0.828233805763330E+01 ,    -0.163036704962191E+02 ,    -0.375632934327377E+01 ,     0.846938850703923E+01 ,     0.514575500938054E+01 ,     0.118756269208031E+00 , 
   3.62600 ,     0.759815225258208E+01 ,    -0.163047547387561E+02 ,    -0.301907137265331E+01 ,     0.777143210871788E+01 ,     0.509071213920309E+01 ,     0.371983901344645E+00 , 
   3.64600 ,     0.656182663026973E+01 ,    -0.156612937889331E+02 ,    -0.229557312687591E+01 ,     0.671487688240385E+01 ,     0.484200288194423E+01 ,     0.506217939366608E+00 , 
   3.66600 ,     0.527337670823197E+01 ,    -0.143713357652503E+02 ,    -0.164992696380550E+01 ,     0.540169836980541E+01 ,     0.440395405217172E+01 ,     0.513262341561771E+00 , 
   3.68600 ,     0.385163397722206E+01 ,    -0.124714760082250E+02 ,    -0.113601484635531E+01 ,     0.395306052043263E+01 ,     0.379141790099464E+01 ,     0.397519318588316E+00 , 
