     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   1.28000 ,    1.30723 ,    0.10666 ,    1.31157 ,    1.07593 ,   -0.86722 ,    1.38192
   1.29000 ,    1.32305 ,    0.17607 ,    1.33471 ,    1.17102 ,   -0.80518 ,    1.42113
   1.30000 ,    1.34456 ,    0.24958 ,    1.36753 ,    1.26623 ,   -0.73130 ,    1.46223
   1.31000 ,    1.37111 ,    0.33096 ,    1.41048 ,    1.35994 ,   -0.64427 ,    1.50483
   1.32000 ,    1.40079 ,    0.42389 ,    1.46352 ,    1.45014 ,   -0.54303 ,    1.54848
   1.33000 ,    1.43052 ,    0.53159 ,    1.52610 ,    1.53441 ,   -0.42683 ,    1.59267
   1.34000 ,    1.45614 ,    0.65650 ,    1.59729 ,    1.60998 ,   -0.29541 ,    1.63686
   1.35000 ,    1.47259 ,    0.79998 ,    1.67586 ,    1.67385 ,   -0.14905 ,    1.68047
   1.36000 ,    1.47424 ,    0.96203 ,    1.76037 ,    1.72289 ,    0.01135 ,    1.72293
   1.37000 ,    1.45517 ,    1.14119 ,    1.84928 ,    1.75401 ,    0.18418 ,    1.76366
   1.38000 ,    1.40964 ,    1.33435 ,    1.94103 ,    1.76427 ,    0.36717 ,    1.80207
   1.39000 ,    1.33242 ,    1.53687 ,    2.03404 ,    1.75107 ,    0.55733 ,    1.83763
   1.40000 ,    1.21926 ,    1.74261 ,    2.12680 ,    1.71231 ,    0.75107 ,    1.86979
   1.41000 ,    1.06726 ,    1.94420 ,    2.21787 ,    1.64652 ,    0.94428 ,    1.89808
   1.42000 ,    0.87513 ,    2.13336 ,    2.30588 ,    1.55300 ,    1.13241 ,    1.92202
   1.43000 ,    0.64354 ,    2.30128 ,    2.38957 ,    1.43191 ,    1.31070 ,    1.94121
   1.44000 ,    0.37516 ,    2.43907 ,    2.46776 ,    1.28435 ,    1.47432 ,    1.95529
   1.45000 ,    0.07475 ,    2.53827 ,    2.53937 ,    1.11235 ,    1.61856 ,    1.96394
   1.46000 ,   -0.25092 ,    2.59133 ,    2.60345 ,    0.91891 ,    1.73906 ,    1.96691
   1.47000 ,   -0.59332 ,    2.59207 ,    2.65911 ,    0.70786 ,    1.83198 ,    1.96398
   1.48000 ,   -0.94245 ,    2.53615 ,    2.70560 ,    0.48381 ,    1.89420 ,    1.95501
   1.49000 ,   -1.28727 ,    2.42137 ,    2.74228 ,    0.25197 ,    1.92349 ,    1.93992
   1.50000 ,   -1.61617 ,    2.24790 ,    2.76859 ,    0.01797 ,    1.91859 ,    1.91867
   1.51000 ,   -1.91757 ,    2.01845 ,    2.78410 ,   -0.21233 ,    1.87934 ,    1.89130
   1.52000 ,   -2.18046 ,    1.73820 ,    2.78850 ,   -0.43307 ,    1.80669 ,    1.85787
