 EXAFS #2,   chi(k)*k^2
      k    ,  calculated  ,  experiment
12.450 ,    -2.95231 ,    -0.21066
12.500 ,    -2.28840 ,    -0.14103
12.550 ,    -1.37171 ,    -0.02837
12.600 ,    -0.29559 ,     0.06846
12.650 ,     0.82777 ,     0.09664
12.700 ,     1.87983 ,     0.10105
12.750 ,     2.74856 ,     0.13829
12.800 ,     3.34136 ,     0.19804
12.850 ,     3.59506 ,     0.24577
12.900 ,     3.48320 ,     0.27661
12.950 ,     3.01873 ,     0.26632
13.000 ,     2.25250 ,     0.21256
13.050 ,     1.26736 ,     0.02804
13.100 ,     0.16867 ,    -0.12323
13.150 ,    -0.92743 ,    -0.10074
13.200 ,    -1.90720 ,    -0.21540
13.250 ,    -2.67149 ,    -0.32228
13.300 ,    -3.14651 ,    -0.27423
13.350 ,    -3.29125 ,    -0.21643
13.400 ,    -3.10119 ,    -0.17236
13.450 ,    -2.60774 ,    -0.15210
13.500 ,    -1.87365 ,    -0.11383
13.550 ,    -0.98508 ,    -0.03360
13.600 ,    -0.04117 ,     0.06024
13.650 ,     0.85734 ,     0.12158
13.700 ,     1.61936 ,     0.15054
13.750 ,     2.17312 ,     0.13588
13.800 ,     2.47312 ,     0.09121
13.850 ,     2.50403 ,     0.07866
13.900 ,     2.28063 ,     0.13010
13.950 ,     1.84454 ,     0.21115
14.000 ,     1.25786 ,     0.14331
14.050 ,     0.59484 ,    -0.01149
14.100 ,    -0.06738 ,     0.03681
14.150 ,    -0.65791 ,     0.04607
14.200 ,    -1.11989 ,    -0.01660
