 Q (1/Ang),S-S  ,S-F  ,F-F  
   3.21000 ,     0.210500062287024E+00 ,    -0.375272810780956E+00 ,     0.167140051057559E+00 , 
   3.23000 ,     0.210607298644782E+00 ,    -0.310086611335225E+00 ,     0.152345424591177E+00 , 
   3.25000 ,     0.195875624073885E+00 ,    -0.255283405926110E+00 ,     0.139451733776916E+00 , 
   3.27000 ,     0.166679692487857E+00 ,    -0.210486141394974E+00 ,     0.128649702041065E+00 , 
   3.29000 ,     0.123851322403662E+00 ,    -0.175205828448610E+00 ,     0.120089312514369E+00 , 
   3.31000 ,     0.686414507976749E-01 ,    -0.148864208951592E+00 ,     0.113877465981835E+00 , 
   3.33000 ,     0.267195923858378E-02 ,    -0.130816386155329E+00 ,     0.110076504140105E+00 , 
   3.35000 ,    -0.721210358144785E-01 ,    -0.120372779814592E+00 ,     0.108703635718914E+00 , 
   3.37000 ,    -0.153550664897459E+00 ,    -0.116819822253275E+00 ,     0.109731280959412E+00 , 
   3.39000 ,    -0.239247674206387E+00 ,    -0.119438880049765E+00 ,     0.113088327437913E+00 , 
   3.41000 ,    -0.326731725655681E+00 ,    -0.127522966747351E+00 ,     0.118662267881847E+00 , 
   3.43000 ,    -0.413483655135850E+00 ,    -0.140390902208400E+00 ,     0.126302169041409E+00 , 
   3.45000 ,    -0.497016749210478E+00 ,    -0.157398671077236E+00 ,     0.135822400428259E+00 , 
   3.47000 ,    -0.574945182952192E+00 ,    -0.177947833333187E+00 ,     0.147007033345735E+00 , 
   3.49000 ,    -0.645047889693258E+00 ,    -0.201490941108250E+00 ,     0.159614804594328E+00 , 
   3.51000 ,    -0.705326302666022E+00 ,    -0.227534014869173E+00 ,     0.173384525956662E+00 , 
   3.53000 ,    -0.754054613399571E+00 ,    -0.255636225909338E+00 ,     0.188040810386499E+00 , 
   3.55000 ,    -0.789821426108197E+00 ,    -0.285407018255170E+00 ,     0.203299978999186E+00 , 
   3.57000 ,    -0.811561944338665E+00 ,    -0.316500979234174E+00 ,     0.218876009648125E+00 , 
   3.59000 ,    -0.818580098606679E+00 ,    -0.348610832080483E+00 ,     0.234486388139139E+00 , 
   3.61000 ,    -0.810560304199301E+00 ,    -0.381458974457174E+00 ,     0.249857726951873E+00 , 
   3.63000 ,    -0.787568819278328E+00 ,    -0.414788022463204E+00 ,     0.264731023579222E+00 , 
   3.65000 ,    -0.750044947589581E+00 ,    -0.448350839826076E+00 ,     0.278866441046535E+00 , 
   3.67000 ,    -0.698782590519228E+00 ,    -0.481900536280319E+00 ,     0.292047506531781E+00 , 
   3.69000 ,    -0.634902893521882E+00 ,    -0.515180907780253E+00 ,     0.304084639900926E+00 , 
   3.71000 ,    -0.559818946336535E+00 ,    -0.547917764825929E+00 ,     0.314817941959443E+00 , 
   3.73000 ,    -0.475193679978859E+00 ,    -0.579811554851567E+00 ,     0.324119191809503E+00 , 
   3.75000 ,    -0.382892252246170E+00 ,    -0.610531631782500E+00 ,     0.331893023362939E+00 , 
   3.77000 ,    -0.284930324392559E+00 ,    -0.639712462297546E+00 ,     0.338077272238649E+00 , 
   3.79000 ,    -0.183424831185716E+00 ,    -0.666950679822417E+00 ,     0.342642317712333E+00 , 
   3.81000 ,    -0.805179942757934E-01 ,    -0.691811093224223E+00 ,     0.345590659087220E+00 , 
   3.83000 ,     0.216471863615295E-01 ,    -0.713821484011613E+00 ,     0.346953559601534E+00 , 
   3.85000 ,     0.121000498137835E+00 ,    -0.732483499152309E+00 ,     0.346789392643330E+00 , 
   3.87000 ,     0.215589658763856E+00 ,    -0.747278771827942E+00 ,     0.345180147985325E+00 , 
   3.89000 ,     0.303626055220103E+00 ,    -0.757678478353532E+00 ,     0.342227729655041E+00 , 
   3.91000 ,     0.383524983441461E+00 ,    -0.763154655171589E+00 ,     0.338049886029259E+00 , 
   3.93000 ,     0.453939472368396E+00 ,    -0.763192949116200E+00 ,     0.332775889011980E+00 , 
   3.95000 ,     0.513786970172138E+00 ,    -0.757306419514210E+00 ,     0.326542083395168E+00 , 
   3.97000 ,     0.562268378831818E+00 ,    -0.745049967760053E+00 ,     0.319487428493440E+00 , 
   3.99000 ,     0.598879139977119E+00 ,    -0.726034940015083E+00 ,     0.311749151906272E+00 , 
   4.01000 ,     0.623412294077441E+00 ,    -0.699943432506758E+00 ,     0.303458629899538E+00 , 
   4.03000 ,     0.635953983037646E+00 ,    -0.666539971443188E+00 ,     0.294737155659117E+00 , 
   4.05000 ,     0.636869179619067E+00 ,    -0.625690866837639E+00 ,     0.285694346657276E+00 , 
