 Q (1/Ang),S-S  ,S-F  ,F-F  
   6.23000 ,     0.106994002019378E+00 ,    -0.126196080036868E+00 ,     0.275437677336161E+00 , 
   6.25000 ,     0.268329433470123E+00 ,    -0.168299036240213E+00 ,     0.304449223597628E+00 , 
   6.27000 ,     0.443878773690960E+00 ,    -0.220168433469880E+00 ,     0.330122171233098E+00 , 
   6.29000 ,     0.554572537502495E+00 ,    -0.271663493248307E+00 ,     0.346398480347517E+00 , 
   6.31000 ,     0.536759445428497E+00 ,    -0.312499997433775E+00 ,     0.350448648816909E+00 , 
   6.33000 ,     0.366782910162960E+00 ,    -0.335561942708206E+00 ,     0.343484233583839E+00 , 
   6.35000 ,     0.718675115970881E-01 ,    -0.339252986107716E+00 ,     0.330226793641313E+00 , 
   6.37000 ,    -0.276154770771015E+00 ,    -0.328133536582297E+00 ,     0.317239150663377E+00 , 
   6.39000 ,    -0.582011715155425E+00 ,    -0.311623090946363E+00 ,     0.310690843628072E+00 , 
   6.41000 ,    -0.755983239926971E+00 ,    -0.301153795675487E+00 ,     0.314300855920321E+00 , 
   6.43000 ,    -0.741306864875990E+00 ,    -0.306649176135657E+00 ,     0.328125605528264E+00 , 
   6.45000 ,    -0.531359657720301E+00 ,    -0.333417548081592E+00 ,     0.348568959978606E+00 , 
   6.47000 ,    -0.171499509269718E+00 ,    -0.380424834482263E+00 ,     0.369583807716863E+00 , 
   6.49000 ,     0.254535444938227E+00 ,    -0.440485760524965E+00 ,     0.384647255246134E+00 , 
   6.51000 ,     0.648934638696347E+00 ,    -0.502319654865335E+00 ,     0.388849933635497E+00 , 
   6.53000 ,     0.926983112509861E+00 ,    -0.553843091267386E+00 ,     0.380419536188314E+00 , 
   6.55000 ,     0.103876871743925E+01 ,    -0.585695001808684E+00 ,     0.361200649754078E+00 , 
   6.57000 ,     0.979290157270962E+00 ,    -0.593926083786405E+00 ,     0.335965417890286E+00 , 
   6.59000 ,     0.784825139646009E+00 ,    -0.581049890535601E+00 ,     0.310813292482502E+00 , 
   6.61000 ,     0.517843699346240E+00 ,    -0.555161707861394E+00 ,     0.291206618983495E+00 , 
   6.63000 ,     0.246153569777971E+00 ,    -0.527422549605002E+00 ,     0.280290147998830E+00 , 
   6.65000 ,     0.233030714066594E-01 ,    -0.508695720121015E+00 ,     0.278028779520687E+00 , 
   6.67000 ,    -0.123763743593132E+00 ,    -0.506363451284703E+00 ,     0.281412435898974E+00 , 
   6.69000 ,    -0.196714589490230E+00 ,    -0.522272629141474E+00 ,     0.285618762759914E+00 , 
   6.71000 ,    -0.218118664490011E+00 ,    -0.552393111933941E+00 ,     0.285713501864019E+00 , 
   6.73000 ,    -0.217851016425584E+00 ,    -0.588239012745778E+00 ,     0.278306059747810E+00 , 
   6.75000 ,    -0.219115028116230E+00 ,    -0.619570521199735E+00 ,     0.262613302335841E+00 , 
   6.77000 ,    -0.229243104202829E+00 ,    -0.637524382120914E+00 ,     0.240600359335814E+00 , 
   6.79000 ,    -0.238313976071477E+00 ,    -0.637222681997693E+00 ,     0.216186335410189E+00 , 
   6.81000 ,    -0.225556957957081E+00 ,    -0.619102751882173E+00 ,     0.193816154143462E+00 , 
   6.83000 ,    -0.170616865524374E+00 ,    -0.588625910336214E+00 ,     0.176903010714049E+00 , 
   6.85000 ,    -0.650379299915406E-01 ,    -0.554523935630371E+00 ,     0.166674226941164E+00 , 
