 1186
 SF6 190K                                                                       
  5.849998  0.00394172361
  5.86999798  0.00663338928
  5.88999796  0.00944484491
  5.90999794  0.0123559721
  5.92999792  0.0153451562
  5.9499979  0.018389849
  5.96999788  0.0214670561
  5.98999786  0.0245538447
  6.00999784  0.0276277065
  6.02999783  0.0306672603
  6.04999781  0.0336520039
  6.06999779  0.0365630835
  6.08999777  0.039383512
  6.10999823  0.0420980826
  6.12999821  0.0446931981
  6.14999819  0.0471574366
  6.16999817  0.0494814254
  6.18999815  0.051657062
  6.20999813  0.0536780842
  6.22999811  0.0555399172
  6.24999809  0.0572386049
  6.26999807  0.0587714054
  6.28999805  0.0601364113
  6.30999804  0.0613321215
  6.32999802  0.0623573326
  6.349998  0.0632107332
  6.36999798  0.0638911948
  6.38999701  0.0643971488
  6.40999699  0.0647267923
  6.42999697  0.0648782924
  6.44999695  0.0648487806
  6.46999693  0.0646358132
  6.48999691  0.0642362535
  6.50999689  0.0636469051
  6.52999687  0.0628649294
  6.54999685  0.0618872754
  6.56999683  0.0607114285
  6.58999681  0.0593359657
  6.6099968  0.0577593632
  6.62999678  0.0559816957
  6.64999723  0.0540044568
  6.66999722  0.0518298969
  6.6899972  0.0494622625
  6.70999718  0.0469072089
  6.72999716  0.0441721827
  6.74999714  0.041266121
  6.76999712  0.038199801
  6.7899971  0.0349855982
  6.80999708  0.0316374339
  6.82999706  0.0281706173
  6.84999704  0.0246015023
  6.86999702  0.0209476836
  6.88999701  0.0172272138
  6.90999699  0.0134587884
  6.92999697  0.00966118556
  6.94999695  0.00585316122
  6.96999693  0.00205307337
  6.98999691 -0.00172136817
  7.00999689 -0.00545336772
  7.02999687 -0.0091272397
  7.04999685 -0.0127286799
  7.06999683 -0.0162448138
  7.08999681 -0.0196644571
  7.1099968 -0.0229781494
  7.12999678 -0.0261781234
  7.14999723 -0.0292584877
  7.16999722 -0.0322149172
  7.1899972 -0.0350448228
  7.20999718 -0.0377471298
  7.22999716 -0.0403221101
  7.24999714 -0.0427711606
  7.26999712 -0.0450967886
  7.2899971 -0.0473020375
  7.30999708 -0.0493907221
  7.32999706 -0.0513668135
  7.34999704 -0.0532344282
  7.36999702 -0.0549975224
  7.38999701 -0.0566595346
  7.40999699 -0.0582237802
  7.42999601 -0.0596924834
  7.44999599 -0.0610677749
  7.46999598 -0.0623502024
  7.48999596 -0.0635399073
  7.50999594 -0.0646359324
  7.52999592 -0.0656365752
  7.5499959 -0.066539146
  7.56999588 -0.0673404187
  7.58999586 -0.0680366307
  7.60999584 -0.068623282
  7.62999582 -0.0690956712
  7.6499958 -0.0694492087
  7.66999578 -0.0696789622
  7.68999577 -0.069780387
  7.70999622 -0.0697493553
  7.7299962 -0.0695819557
  7.74999619 -0.0692753047
  7.76999617 -0.0688271746
  7.78999615 -0.068236433
  7.80999613 -0.0675022453
  7.82999611 -0.0666255876
  7.84999609 -0.0656080693
  7.86999607 -0.0644524544
  7.88999605 -0.0631622672
  7.90999603 -0.0617420785
  7.92999601 -0.0601974912
  7.94999599 -0.0585345961
  7.96999598 -0.0567602143
  7.98999596 -0.0548814833
  8.00999546 -0.0529061742
  8.02999592 -0.0508417785
  8.04999638 -0.0486963056
  8.06999683 -0.0464774258
  8.08999729 -0.044192791
  8.10999775 -0.0418494716
  8.12999821 -0.039454367
  8.14999866 -0.0370137952
  8.16999912 -0.0345335156
  8.18999958 -0.0320187919
  8.21000004 -0.0294743199
  8.22999954 -0.0269042812
  8.25000095 -0.0243119467
  8.27000141 -0.0217008572
  8.29000187 -0.0190736074
  8.31000233 -0.0164327864
  8.33000278 -0.0137806702
  8.35000324 -0.0111194076
  8.3700037 -0.00845133327
  8.39000416 -0.00577871827
  8.41000462 -0.00310414378
  8.43000507 -0.000430459011
  8.45000553  0.0022390997
  8.47000599  0.00490087736
  8.49000645  0.00755074387
  8.5100069  0.0101840701
  8.53000736  0.0127957435
  8.55000782  0.0153802186
  8.57000828  0.0179315004
  8.59000874  0.0204432048
  8.61000919  0.0229086354
  8.63000965  0.0253209732
  8.65001011  0.0276733469
  8.67001057  0.0299587138
  8.69001102  0.0321704186
  8.71001053  0.0343017392
  8.73001194  0.0363469087
  8.7500124  0.0382998921
  8.77001286  0.0401556902
  8.79001331  0.0419098325
  8.81001377  0.0435587242
  8.83001423  0.0450993627
  8.85001469  0.0465297289
  8.87001514  0.047848396
  8.8900156  0.0490551554
  8.91001606  0.050150007
  8.93001747  0.0511342399
  8.95001698  0.0520093702
  8.97001743  0.0527780131
  8.99001789  0.0534425378
  9.01001835  0.0540062599
  9.03001881  0.0544726774
  9.05001926  0.054845307
  9.07001972  0.055127427
  9.09002018  0.0553229004
  9.11002064  0.0554349124
  9.1300211  0.0554664545
  9.15002155  0.0554201826
  9.17002201  0.0552983917
  9.19002247  0.0551028922
  9.21002293  0.0548350587
  9.23002338  0.054495763
  9.25002384  0.0540854894
  9.2700243  0.0536042154
  9.29002476  0.0530516468
  9.31002522  0.0524271615
  9.33002567  0.0517301112
  9.35002613  0.0509594083
  9.37002659  0.0501144566
  9.39002705  0.0491942689
  9.41002846  0.0481984317
  9.43002796  0.0471268222
  9.45002842  0.0459797829
  9.47002888  0.0447578579
