 Q (1/Ang),S-S  ,S-F  ,F-F  
   2.43000 ,     0.325928690300485E+01 ,    -0.112131686560915E+01 ,    -0.254056943645918E+00 , 
   2.45000 ,     0.349075226434323E+01 ,    -0.132667846629717E+01 ,    -0.200941621077198E+00 , 
   2.47000 ,     0.364712804720893E+01 ,    -0.153300805465098E+01 ,    -0.150268233679411E+00 , 
   2.49000 ,     0.372992852807914E+01 ,    -0.173712560016180E+01 ,    -0.102166150012624E+00 , 
   2.51000 ,     0.374205860935190E+01 ,    -0.193587158752716E+01 ,    -0.567236702902290E-01 , 
   2.53000 ,     0.368769429574367E+01 ,    -0.212617350884227E+01 ,    -0.139929756768123E-01 , 
   2.55000 ,     0.357214013439929E+01 ,    -0.230510893782288E+01 ,     0.260046374371261E-01 , 
   2.57000 ,     0.340166740803213E+01 ,    -0.246996386487388E+01 ,     0.632734250432739E-01 , 
   2.59000 ,     0.318333720912217E+01 ,    -0.261828511595831E+01 ,     0.978379429388741E-01 , 
   2.61000 ,     0.292481262365908E+01 ,    -0.274792590605219E+01 ,     0.129738053504024E+00 , 
   2.63000 ,     0.263416184361272E+01 ,    -0.285708446744625E+01 ,     0.159024567108433E+00 , 
   2.65000 ,     0.231967532722204E+01 ,    -0.294432907191627E+01 ,     0.185753930714715E+00 , 
   2.67000 ,     0.198965382327206E+01 ,    -0.300862575678079E+01 ,     0.209986643345749E+00 , 
   2.69000 ,     0.165223450302138E+01 ,    -0.304934500915265E+01 ,     0.231783179400782E+00 , 
   2.71000 ,     0.131521351766314E+01 ,    -0.306626563355182E+01 ,     0.251202225393761E+00 , 
   2.73000 ,     0.985885622634066E+00 ,    -0.305956875010587E+01 ,     0.268299389004729E+00 , 
   2.75000 ,     0.670901835779151E+00 ,    -0.302982343490315E+01 ,     0.283126640632821E+00 , 
   2.77000 ,     0.376147691957266E+00 ,    -0.297796465101095E+01 ,     0.295732466392118E+00 , 
   2.79000 ,     0.106656389499714E+00 ,    -0.290526815347556E+01 ,     0.306162228801879E+00 , 
   2.81000 ,    -0.133515874442972E+00 ,    -0.281330059062431E+01 ,     0.314461421367717E+00 , 
   2.83000 ,    -0.341262173034780E+00 ,    -0.270390021361690E+01 ,     0.320674547851653E+00 , 
   2.85000 ,    -0.514501261958795E+00 ,    -0.257911989152755E+01 ,     0.324849412348096E+00 , 
   2.87000 ,    -0.652162554542949E+00 ,    -0.244118317920451E+01 ,     0.327039014668364E+00 , 
   2.89000 ,    -0.754160074860257E+00 ,    -0.229243576444930E+01 ,     0.327304097017876E+00 , 
   2.91000 ,    -0.821343391218126E+00 ,    -0.213529642583465E+01 ,     0.325715663410241E+00 , 
   2.93000 ,    -0.855427702944850E+00 ,    -0.197220664659981E+01 ,     0.322357292188954E+00 , 
