r (Ang), PDF (RMC), PDF (Expt)
  0.990000000000000       ,   0.000000000000000E+000  ,   3.737321316061441E-005
   1.00000000000000       ,   0.000000000000000E+000  ,   3.775072036425698E-005
   1.01000000000000       ,   0.000000000000000E+000  ,   3.812822756789955E-005
   1.02000000000000       ,   0.000000000000000E+000  ,   3.850573477154212E-005
   1.03000000000000       ,   0.000000000000000E+000  ,   3.888324197518469E-005
   1.04000000000000       ,   0.000000000000000E+000  ,   3.926074917882727E-005
   1.05000000000000       ,   0.000000000000000E+000  ,   3.963825638246984E-005
   1.06000000000000       ,   0.000000000000000E+000  ,   4.001576358611241E-005
   1.07000000000000       ,   0.000000000000000E+000  ,   4.039327078975498E-005
   1.08000000000000       ,   0.000000000000000E+000  ,   4.077077799339754E-005
   1.09000000000000       ,   0.000000000000000E+000  ,   4.114828519704012E-005
   1.10000000000000       ,   0.000000000000000E+000  ,   4.152579240068268E-005
   1.11000000000000       ,   0.000000000000000E+000  ,   4.190329960432526E-005
   1.12000000000000       ,   0.000000000000000E+000  ,   4.228080680796783E-005
   1.13000000000000       ,   0.000000000000000E+000  ,   4.265831401161040E-005
   1.14000000000000       ,   0.000000000000000E+000  ,   4.303582121525297E-005
   1.15000000000000       ,   0.000000000000000E+000  ,   4.341332841889553E-005
   1.16000000000000       ,   0.000000000000000E+000  ,   4.379083562253810E-005
   1.17000000000000       ,   0.000000000000000E+000  ,   4.416834282618067E-005
   1.18000000000000       ,   0.000000000000000E+000  ,   4.454585002982324E-005
   1.19000000000000       ,   0.000000000000000E+000  ,   4.492335723346581E-005
   1.20000000000000       ,   0.000000000000000E+000  ,   4.530086443710838E-005
   1.21000000000000       ,   0.000000000000000E+000  ,   4.567837164075095E-005
   1.22000000000000       ,   0.000000000000000E+000  ,   4.605587884439352E-005
   1.23000000000000       ,   0.000000000000000E+000  ,   4.643338604803609E-005
   1.24000000000000       ,   0.000000000000000E+000  ,   4.681089325167866E-005
   1.25000000000000       ,   0.000000000000000E+000  ,   4.718840045532123E-005
   1.26000000000000       ,   0.000000000000000E+000  ,   4.756590765896380E-005
   1.27000000000000       ,   0.000000000000000E+000  ,   4.794341486260637E-005
   1.28000000000000       ,   0.000000000000000E+000  ,   4.832092206624894E-005
   1.29000000000000       ,   0.000000000000000E+000  ,   4.869842926989150E-005
   1.30000000000000       ,   0.000000000000000E+000  ,   4.907593647353409E-005
   1.31000000000000       ,   0.000000000000000E+000  ,   4.945344367717665E-005
