  Q (1/Ang),       Ga-Ga,       Ga-P ,       Ga-O ,       P-P  ,       P-O  ,       O-O  
 15.6200000,   0.2781458,  -0.0004056,   0.0223051,   0.3302798,  -0.2425482,   0.0807248
 15.6400000,   0.2997472,  -0.0399302,   0.0178132,   0.3493648,  -0.2356339,   0.0819312
 15.6600000,   0.3170265,  -0.0835743,   0.0131614,   0.3636173,  -0.2283032,   0.0828195
 15.6800000,   0.3298693,  -0.1305172,   0.0083439,   0.3729697,  -0.2206632,   0.0833487
 15.7000000,   0.3382331,  -0.1798474,   0.0033492,   0.3774323,  -0.2128155,   0.0834807
 15.7200000,   0.3421461,  -0.2305832,  -0.0018391,   0.3770915,  -0.2048545,   0.0831821
 15.7400000,   0.3417050,  -0.2816937,  -0.0072418,   0.3721055,  -0.1968656,   0.0824258
 15.7600000,   0.3370714,  -0.3321218,  -0.0128837,   0.3626995,  -0.1889236,   0.0811918
 15.7800000,   0.3284677,  -0.3808070,  -0.0187926,   0.3491602,  -0.1810921,   0.0794685
 15.8000000,   0.3161716,  -0.4267088,  -0.0249979,   0.3318281,  -0.1734226,   0.0772533
 15.8200000,   0.3005096,  -0.4688291,  -0.0315292,   0.3110903,  -0.1659540,   0.0745537
 15.8400000,   0.2818500,  -0.5062337,  -0.0384153,   0.2873720,  -0.1587129,   0.0713866
 15.8600000,   0.2605953,  -0.5380732,  -0.0456821,   0.2611275,  -0.1517143,   0.0677791
 15.8800000,   0.2371741,  -0.5636002,  -0.0533509,   0.2328314,  -0.1449616,   0.0637678
 15.9000000,   0.2120327,  -0.5821864,  -0.0614372,   0.2029693,  -0.1384481,   0.0593983
 15.9200000,   0.1856266,  -0.5933351,  -0.0699489,   0.1720290,  -0.1321580,   0.0547242
 15.9400000,   0.1584119,  -0.5966922,  -0.0788848,   0.1404912,  -0.1260680,   0.0498063
 15.9600000,   0.1308371,  -0.5920534,  -0.0882334,   0.1088220,  -0.1201487,   0.0447108
 15.9800000,   0.1033352,  -0.5793683,  -0.0979717,   0.0774645,  -0.1143663,   0.0395081
 16.0000000,   0.0763162,  -0.5587412,  -0.1080645,   0.0468325,  -0.1086844,   0.0342711
 16.0200000,   0.0501602,  -0.5304285,  -0.1184641,   0.0173037,  -0.1030653,   0.0290736
 16.0400000,   0.0252114,  -0.4948334,  -0.1291096,  -0.0107849,  -0.0974721,   0.0239882
 16.0600000,   0.0017729,  -0.4524967,  -0.1399276,  -0.0371412,  -0.0918700,   0.0190846
 16.0800000,  -0.0198975,  -0.4040852,  -0.1508321,  -0.0615213,  -0.0862275,   0.0144283
 16.1000000,  -0.0395908,  -0.3503777,  -0.1617263,  -0.0837312,  -0.0805179,   0.0100783
 16.1200000,  -0.0571487,  -0.2922485,  -0.1725026,  -0.1036279,  -0.0747197,   0.0060865
 16.1400000,  -0.0724649,  -0.2306490,  -0.1830453,  -0.1211187,  -0.0688179,   0.0024954
 16.1600000,  -0.0854848,  -0.1665881,  -0.1932317,  -0.1361603,  -0.0628040,  -0.0006620
 16.1800000,  -0.0962050,  -0.1011113,  -0.2029344,  -0.1487563,  -0.0566765,  -0.0033634
 16.2000000,  -0.1046702,  -0.0352796,  -0.2120239,  -0.1589539,  -0.0504406,  -0.0055980
 16.2200000,  -0.1109711,   0.0298518,  -0.2203708,  -0.1668405,  -0.0441079,  -0.0073659
 16.2400000,  -0.1152397,   0.0932548,  -0.2278484,  -0.1725382,  -0.0376959,  -0.0086790
 16.2600000,  -0.1176447,   0.1539482,  -0.2343358,  -0.1761989,  -0.0312270,  -0.0095597
 16.2800000,  -0.1183857,   0.2110167,  -0.2397199,  -0.1779990,  -0.0247281,  -0.0100410
 16.3000000,  -0.1176875,   0.2636281,  -0.2438987,  -0.1781328,  -0.0182289,  -0.0101652
 16.3200000,  -0.1157933,   0.3110486,  -0.2467832,  -0.1768068,  -0.0117609,  -0.0099824
 16.3400000,  -0.1129579,   0.3526558,  -0.2483001,  -0.1742337,  -0.0053563,  -0.0095500
 16.3600000,  -0.1094408,   0.3879490,  -0.2483934,  -0.1706262,   0.0009533,  -0.0089303
 16.3800000,  -0.1054992,   0.4165569,  -0.2470263,  -0.1661914,   0.0071385,  -0.0081892
 16.4000000,  -0.1013814,   0.4382428,  -0.2441825,  -0.1611257,   0.0131727,  -0.0073945
 16.4200000,  -0.0973206,   0.4529059,  -0.2398673,  -0.1556103,   0.0190337,  -0.0066137
 16.4400000,  -0.0935283,   0.4605814,  -0.2341079,  -0.1498065,   0.0247044,  -0.0059129
 16.4600000,  -0.0901899,   0.4614359,  -0.2269533,  -0.1438530,   0.0301733,  -0.0053544
 16.4800000,  -0.0874595,   0.4557614,  -0.2184745,  -0.1378630,   0.0354355,  -0.0049953
 16.5000000,  -0.0854566,   0.4439663,  -0.2087631,  -0.1319222,   0.0404927,  -0.0048864
 16.5200000,  -0.0842630,   0.4265645,  -0.1979304,  -0.1260886,   0.0453535,  -0.0050704
