Q or theta , Experiment , Calculated
   3.1899999999999999       ,    840.00000000000000       ,    743.88765038771169     
   3.2100000000000000       ,    952.00000000000000       ,    723.29159769281785     
   3.2300000000000000       ,    978.00000000000000       ,    706.16411747871962     
   3.2500000000000000       ,    869.00000000000000       ,    691.71012206945784     
   3.2700000000000000       ,    731.00000000000000       ,    679.35370028984664     
   3.2900000000000000       ,    651.00000000000000       ,    668.68412612468251     
   3.3100000000000001       ,    624.00000000000000       ,    659.39917691926235     
   3.3300000000000001       ,    622.00000000000000       ,    651.28160036487043     
   3.3500000000000001       ,    639.00000000000000       ,    644.17992797209240     
   3.3700000000000001       ,    667.00000000000000       ,    638.00088909006354     
   3.3900000000000001       ,    677.00000000000000       ,    632.72035397614638     
   3.4100000000000001       ,    662.00000000000000       ,    628.40903396018462     
   3.4300000000000002       ,    663.00000000000000       ,    625.46253546216349     
   3.4500000000000002       ,    703.00000000000000       ,    625.95220314001358     
   3.4700000000000002       ,    735.00000000000000       ,    638.68726550656379     
   3.4900000000000002       ,    748.00000000000000       ,    686.65672462589441     
   3.5099999999999998       ,    822.00000000000000       ,    794.90789612618516     
   3.5499999999999998       ,    1050.0000000000000       ,    1000.3291053978126     
   3.5699999999999998       ,    909.00000000000000       ,    907.10081536018083     
   3.5899999999999999       ,    702.00000000000000       ,    758.42884029084530     
   3.6099999999999999       ,    585.00000000000000       ,    654.84005030280628     
   3.6299999999999999       ,    535.00000000000000       ,    608.86436060022027     
   3.6499999999999999       ,    520.00000000000000       ,    592.98085097120327     
   3.6699999999999999       ,    520.00000000000000       ,    586.81785319349672     
   3.6899999999999999       ,    520.00000000000000       ,    583.31274096760615     
   3.7100000000000000       ,    517.00000000000000       ,    580.88048925983514     
   3.7300000000000000       ,    518.00000000000000       ,    579.19374074217751     
   3.7500000000000000       ,    539.00000000000000       ,    578.17209501961872     
   3.7700000000000000       ,    567.00000000000000       ,    577.82089267972810     
   3.7900000000000000       ,    577.00000000000000       ,    578.21429781843960     
   3.8100000000000001       ,    569.00000000000000       ,    579.49179969678016     
   3.8300000000000001       ,    559.00000000000000       ,    581.89404513829788     
   3.8500000000000001       ,    548.00000000000000       ,    585.80218015226376     
   3.8700000000000001       ,    535.00000000000000       ,    591.84194741306123     
   3.8900000000000001       ,    531.00000000000000       ,    601.16884671749483     
   3.9100000000000001       ,    543.00000000000000       ,    617.05492894033421     
   3.9300000000000002       ,    582.00000000000000       ,    654.09704034392212     
   3.9500000000000002       ,    688.00000000000000       ,    771.78925778425651     
   3.9700000000000002       ,    987.00000000000000       ,    1121.8476432846633     
   3.9900000000000002       ,    1660.0000000000000       ,    1864.5662267683306     
   4.0300000000000002       ,    3200.0000000000000       ,    3259.6917265369821     
   4.0499999999999998       ,    2590.0000000000000       ,    2721.6677080363906     
   4.0700000000000003       ,    1740.0000000000000       ,    1942.6440341663642     
   4.0899999999999999       ,    1480.0000000000000       ,    1630.4288943193542     
