       Q,      F(Q)_RMC,  F(Q)_Expt
      5.0399998 ,      -0.1560983 ,      -0.0415227
      5.0599998 ,      -0.1127913 ,      -0.0130138
      5.0799998 ,      -0.0662715 ,       0.0168439
      5.0999998 ,      -0.0183037 ,       0.0468908
      5.1199998 ,       0.0293348 ,       0.0759787
      5.1399998 ,       0.0748978 ,       0.1029986
      5.1599998 ,       0.1167131 ,       0.1269074
      5.1799998 ,       0.1532236 ,       0.1467522
      5.1999998 ,       0.1830255 ,       0.1616935
      5.2199998 ,       0.2049020 ,       0.1710247
      5.2399998 ,       0.2178538 ,       0.1741889
      5.2599998 ,       0.2211227 ,       0.1707918
      5.2799998 ,       0.2142107 ,       0.1606107
      5.2999998 ,       0.1968914 ,       0.1435998
      5.3199998 ,       0.1692164 ,       0.1198908
      5.3399998 ,       0.1315134 ,       0.0897896
      5.3599998 ,       0.0843788 ,       0.0537689
      5.3799998 ,       0.0286629 ,       0.0124565
      5.3999998 ,      -0.0345502 ,      -0.0333794
      5.4199998 ,      -0.1039689 ,      -0.0828487
      5.4399998 ,      -0.1781251 ,      -0.1349602
      5.4599998 ,      -0.2554099 ,      -0.1886456
      5.4799998 ,      -0.3341120 ,      -0.2427840
      5.4999998 ,      -0.4124590 ,      -0.2962290
      5.5199998 ,      -0.4886603 ,      -0.3478350
      5.5399998 ,      -0.5609497 ,      -0.3964840
      5.5599998 ,      -0.6276286 ,      -0.4411123
      5.5799998 ,      -0.6871061 ,      -0.4807343
      5.5999998 ,      -0.7379378 ,      -0.5144663
      5.6199998 ,      -0.7788602 ,      -0.5415460
      5.6399998 ,      -0.8088215 ,      -0.5613506
      5.6599998 ,      -0.8270064 ,      -0.5734106
      5.6799998 ,      -0.8328563 ,      -0.5774204
      5.6999998 ,      -0.8260824 ,      -0.5732454
      5.7199998 ,      -0.8066732 ,      -0.5609239
      5.7399998 ,      -0.7748945 ,      -0.5406667
      5.7599998 ,      -0.7312841 ,      -0.5128509
      5.7799998 ,      -0.6766386 ,      -0.4780115
      5.7999998 ,      -0.6119953 ,      -0.4368281
      5.8199998 ,      -0.5386078 ,      -0.3901093
      5.8399998 ,      -0.4579167 ,      -0.3387733
      5.8599998 ,      -0.3715163 ,      -0.2838271
      5.8799998 ,      -0.2811173 ,      -0.2263430
      5.8999998 ,      -0.1885071 ,      -0.1674341
      5.9199998 ,      -0.0955088 ,      -0.1082287
      5.9399998 ,      -0.0039391 ,      -0.0498455
      5.9599998 ,       0.0844335 ,       0.0066321
      5.9799998 ,       0.1679284 ,       0.0601795
      5.9999998 ,       0.2449911 ,       0.1098537
      6.0199998 ,       0.3142281 ,       0.1548130
      6.0399998 ,       0.3744369 ,       0.1943352
      6.0599998 ,       0.4246326 ,       0.2278320
      6.0799998 ,       0.4640678 ,       0.2548604
      6.0999998 ,       0.4922480 ,       0.2751307
      6.1199998 ,       0.5089398 ,       0.2885104
      6.1399998 ,       0.5141735 ,       0.2950249
      6.1599998 ,       0.5082391 ,       0.2948539
      6.1799998 ,       0.4916760 ,       0.2883244
      6.1999998 ,       0.4652574 ,       0.2759005
      6.2199998 ,       0.4299686 ,       0.2581697
      6.2399998 ,       0.3869807 ,       0.2358264
      6.2599998 ,       0.3376203 ,       0.2096535
      6.2799998 ,       0.2833352 ,       0.1805018
      6.2999998 ,       0.2256579 ,       0.1492678
      6.3199998 ,       0.1661674 ,       0.1168709
      6.3399998 ,       0.1064502 ,       0.0842307
      6.3599998 ,       0.0480614 ,       0.0522436
      6.3799998 ,      -0.0075129 ,       0.0217618
      6.3999998 ,      -0.0588913 ,      -0.0064283
      6.4199998 ,      -0.1048297 ,      -0.0316239
      6.4399998 ,      -0.1442504 ,      -0.0532229
      6.4599998 ,      -0.1762667 ,      -0.0707371
      6.4799998 ,      -0.2002024 ,      -0.0838029
      6.4999998 ,      -0.2156066 ,      -0.0921894
      6.5199998 ,      -0.2222619 ,      -0.0958017
      6.5399998 ,      -0.2201875 ,      -0.0946820
      6.5599998 ,      -0.2096358 ,      -0.0890070
      6.5799998 ,      -0.1910839 ,      -0.0790812
      6.5999998 ,      -0.1652192 ,      -0.0653280
      6.6199998 ,      -0.1329200 ,      -0.0482774
      6.6399998 ,      -0.0952313 ,      -0.0285514
      6.6599998 ,      -0.0533371 ,      -0.0068467
      6.6799998 ,      -0.0085292 ,       0.0160839
      6.6999998 ,       0.0378264 ,       0.0394515
      6.7199998 ,       0.0843249 ,       0.0624519
      6.7399998 ,       0.1295585 ,       0.0842867
      6.7599998 ,       0.1721520 ,       0.1041841
      6.7799998 ,       0.2107981 ,       0.1214192
      6.7999998 ,       0.2442895 ,       0.1353322
      6.8199998 ,       0.2715497 ,       0.1453462
      6.8399998 ,       0.2916593 ,       0.1509816
      6.8599998 ,       0.3038793 ,       0.1518690
      6.8799998 ,       0.3076685 ,       0.1477585
      6.8999998 ,       0.3026975 ,       0.1385268
      6.9199998 ,       0.2888562 ,       0.1241807
      6.9399998 ,       0.2662565 ,       0.1048574
      6.9599998 ,       0.2352296 ,       0.0808218
      6.9799998 ,       0.1963172 ,       0.0524606
      6.9999998 ,       0.1502591 ,       0.0202734
      7.0199998 ,       0.0979744 ,      -0.0151387
      7.0399998 ,       0.0405398 ,      -0.0530873
      7.0599998 ,      -0.0208367 ,      -0.0928126
      7.0799998 ,      -0.0848443 ,      -0.1335012
      7.0999998 ,      -0.1501012 ,      -0.1743048
      7.1199998 ,      -0.2151868 ,      -0.2143602
      7.1399998 ,      -0.2786755 ,      -0.2528091
      7.1599998 ,      -0.3391702 ,      -0.2888181
      7.1799998 ,      -0.3953343 ,      -0.3215975
      7.1999998 ,      -0.4459230 ,      -0.3504198
      7.2199998 ,      -0.4898115 ,      -0.3746358
      7.2399998 ,      -0.5260206 ,      -0.3936895
      7.2599998 ,      -0.5537383 ,      -0.4071303
      7.2799998 ,      -0.5723373 ,      -0.4146229
      7.2999998 ,      -0.5813887 ,      -0.4159545
      7.3199998 ,      -0.5806699 ,      -0.4110391
      7.3399998 ,      -0.5701687 ,      -0.3999186
      7.3599998 ,      -0.5500813 ,      -0.3827616
      7.3799998 ,      -0.5208066 ,      -0.3598588
